name,price ($),weight (kg),length (m),width (m),height (m),shipment date,port of loading,Vessel,Dwell after shipping,Customer,Called for inspection
Bluetooth Speaker,57.54,1.33,0.29,0.28,0.12,23/04/2022,Port of Singapore (Singapore),AURORA,39,13,N
Pillows,25.83,1.86,0.28,0.29,0.11,28/02/2022,Port of Tianjin (China),LINDA,50,3,N
Fruit Basket,24.08,1.78,0.56,0.33,0.25,29/07/2022,Port of Shanghai (China),LINDA,4,16,Y
Carton of Eggs,6.31,0.54,0.13,0.08,0.11,25/07/2022,Port of Tokyo (Japan),SERENA,41,13,N
Kitchen Knife Set,76.82,2.45,0.46,0.19,0.04,09/05/2022,Port of Tianjin (China),LINDA,4,1,Y
Coffee Beans,12.55,1.31,0.29,0.16,0.05,07/03/2022,Port of Tokyo (Japan),AURORA,41,16,N
Pallete of T-shirts,509.02,1812.39,1.07,1.4,0.6,29/04/2022,Port of Singapore (Singapore),HANA,77,13,N
Hiking Boots,134.56,1.33,0.4,0.24,0.22,06/07/2022,Port of Tokyo (Japan),AURORA,57,6,N
Pallete of Shoes,450.4,1419.85,1.01,0.99,1.48,27/11/2022,Port of Busan (South Korea),SAKURA,81,12,N
Kitchen Knife Set,71.48,2.23,0.76,0.19,0.04,19/10/2022,Port of Tianjin (China),HANA,27,18,N
Dish Rack,16.73,1.88,0.55,0.31,0.12,11/02/2022,Port of Singapore (Singapore),AURORA,30,17,N
Microwave,116.37,13.86,0.6,0.45,0.27,21/08/2022,Port of Singapore (Singapore),HANA,50,5,N
Mixed Dried Fruits,15.6,0.73,0.38,0.23,0.19,19/01/2022,Port of Busan (South Korea),AMELIA,62,3,N
Gaming Mouse,34.59,0.4,0.13,0.09,0.05,23/12/2022,Port of Busan (South Korea),SERENA,38,6,N
Sleeping Bag,77.77,1.09,0.61,0.49,0.15,25/12/2022,Port of Tianjin (China),HANA,48,17,N
Armchair,644.13,20.2,0.75,0.65,0.81,09/05/2022,Port of Shanghai (China),LINDA,29,9,N
Electric Guitar,815.07,2.62,1.08,0.51,0.03,19/03/2022,Port of Singapore (Singapore),AURORA,46,18,N
Resistance Loop Bands,38.38,0.41,0.15,0.02,0.03,26/06/2022,Port of Shanghai (China),LINDA,31,20,N
Guitar Case,122.25,6.89,1.12,0.55,1.15,21/01/2022,Port of Shanghai (China),LINDA,14,16,Y
Backpacking Tent,224.81,2.91,2.18,1.75,1.41,20/06/2022,Port of Tokyo (Japan),AURORA,74,1,N
Pallete of Chairs,1095.33,3760.14,1.9,1.42,1.3,03/01/2022,Port of Tokyo (Japan),AURORA,72,3,N
Pallete of Cement,447.25,868.42,1.34,0.97,1.2,16/06/2022,Port of Singapore (Singapore),AURORA,67,13,N
Bananas,107.66,355.21,0.74,0.6,0.7,26/04/2022,Port of Shanghai (China),LINDA,14,15,Y
Toaster,45.74,1.48,0.58,0.26,0.1,06/06/2022,Port of Tokyo (Japan),AURORA,55,11,N
Pallete of Laptops,112073.12,24642.78,0.58,0.57,0.15,31/08/2022,Port of Tokyo (Japan),AURORA,103,12,N
Canister,11.04,2.05,0.33,0.39,0.24,12/04/2022,Port of Tianjin (China),HANA,10,9,Y
Medium Box,19.53,0.51,0.52,0.39,0.2,02/07/2022,Port of Shanghai (China),LINDA,62,12,N
Ceramic Tiles,18.24,5.09,0.38,0.48,0.01,27/08/2022,Port of Busan (South Korea),SERENA,50,8,N
Resistance Bands,15.15,0.45,0.14,0.06,0.02,16/10/2022,Port of Busan (South Korea),SAKURA,45,19,N
Gardening Gloves,16.74,0.32,0.12,0.08,0.06,26/07/2022,Port of Busan (South Korea),SAKURA,67,6,N
Sailboat,398267.05,605.43,15.53,2.29,5.2,26/02/2022,Port of Shanghai (China),LINDA,73,10,N
Pallete of Cat Food,178.6,439.71,1.01,0.99,1.35,02/04/2022,Port of Singapore (Singapore),AURORA,49,8,N
Tennis Racket,171.43,0.46,0.68,0.17,0.09,23/04/2022,Port of Tokyo (Japan),SAKURA,43,7,N
Pallete of Cleaning Products,172.61,761.9,1.19,0.91,1.4,07/02/2022,Port of Tokyo (Japan),AURORA,55,11,N
Bassinet,146.49,8.67,0.87,0.63,0.54,26/09/2022,Port of Tokyo (Japan),AURORA,14,4,Y
Dining Table,537.74,43.81,0.84,1.12,0.73,31/10/2022,Port of Singapore (Singapore),AURORA,50,14,N
Bag of Rice,18.44,6.83,0.56,0.44,0.77,15/07/2022,Port of Shanghai (China),LINDA,15,12,Y
Can of Beans,2.24,0.28,0.11,0.12,0.15,23/01/2022,Port of Busan (South Korea),SAKURA,5,8,Y
Box of Tea,41.9,2.6,0.47,0.35,0.18,08/05/2022,Port of Tokyo (Japan),SERENA,43,10,N
Box of Canned Soup,37.89,5.7,0.5,0.21,0.11,08/06/2022,Port of Singapore (Singapore),AURORA,45,15,N
Pallete of Bananas,85.86,388.69,1.14,0.82,0.7,23/04/2022,Port of Singapore (Singapore),HANA,35,6,N
Handheld Mixer,45.98,1.89,0.52,0.36,0.12,02/02/2022,Port of Shanghai (China),LINDA,54,16,N
Pineapple (Canned),78.42,56.22,0.4,0.3,0.3,11/05/2022,Port of Shanghai (China),LINDA,23,20,Y
Rain Jacket,20.11,0.5,0.21,0.37,0.1,08/01/2022,Port of Busan (South Korea),SERENA,59,20,N
Medium Shipping Tube,10.42,0.35,0.36,0.22,0.76,25/12/2022,Port of Shanghai (China),HANA,14,7,Y
Big Bag with Glass Scraps,208.76,1210.54,1.9,1.16,0.13,27/11/2022,Port of Busan (South Korea),SERENA,67,2,N
Keyboard,242.67,0.97,1.24,0.35,0.27,21/07/2022,Port of Tianjin (China),LINDA,62,3,N
Bicycle,580.23,12.31,1.21,0.21,0.87,04/08/2022,Port of Tokyo (Japan),SAKURA,65,6,N
Headphones,85.82,0.29,0.15,0.12,0.13,18/09/2022,Port of Tokyo (Japan),SERENA,61,5,N
Healthy Snack Pack,16.07,0.26,0.26,0.15,0.06,23/01/2022,Port of Singapore (Singapore),AURORA,66,17,N
Coffee Beans,21.25,1.39,0.31,0.27,0.2,04/01/2022,Port of Tokyo (Japan),AURORA,45,3,N
Small Boat,15170.7,587.28,5.02,1.56,2.4,19/11/2022,Port of Singapore (Singapore),AURORA,56,3,N
Large Shipping Tube,18.38,0.78,0.54,0.39,1.29,13/07/2022,Port of Tokyo (Japan),SAKURA,53,16,N
PVC Pipes,17.97,2.91,1.75,0.06,0.41,23/10/2022,Port of Tokyo (Japan),AURORA,69,16,N
PC Mice,107.66,0.17,1.34,0.59,0.2,04/08/2022,Port of Tokyo (Japan),SAKURA,75,13,N
Pallete of Tea,345.83,733.59,1.15,0.81,1.4,08/02/2022,Port of Busan (South Korea),SERENA,21,2,Y
Garden Shovel,17,0.78,0.3,0.09,0.04,03/09/2022,Port of Tokyo (Japan),AURORA,55,7,N
Headphones,95.55,0.47,0.15,0.12,0.11,13/12/2022,Port of Busan (South Korea),AMELIA,73,3,N
Pallete of Cleaning Products,170.77,602.17,1.08,0.98,1.46,30/11/2022,Port of Busan (South Korea),SERENA,61,11,N
TV Stand,57.34,9.24,0.67,0.58,0.56,01/06/2022,Port of Singapore (Singapore),AURORA,74,1,N
Insulation Rolls,25.01,5.46,1.25,0.54,0.08,11/03/2022,Port of Tianjin (China),LINDA,6,15,Y
Armchair,248.63,28.99,1.43,0.83,0.96,12/08/2022,Port of Tokyo (Japan),AURORA,73,2,N
Medium Shipping Tube,8.18,0.49,0.32,0.28,0.79,22/02/2022,Port of Singapore (Singapore),HANA,30,9,N
Shelves,186.27,6.01,1.89,0.48,1.52,11/05/2022,Port of Tianjin (China),LINDA,13,14,Y
Medium Box,16.52,0.33,0.59,0.37,0.26,27/05/2022,Port of Shanghai (China),LINDA,74,4,N
Camera Bag,63.39,0.54,0.3,0.33,0.28,,Port of Busan (South Korea),SAKURA,46,5,N
Car,76886.4,2068.84,4.12,1.94,1.39,10/06/2022,Port of Tianjin (China),HANA,85,1,N
Big Bag with Rocks,129.32,1316.07,1.52,0.63,0.11,22/07/2022,Port of Shanghai (China),LINDA,85,10,N
Metal Pipes,80.31,40.12,2.81,0.16,1.4,27/02/2022,Port of Shanghai (China),LINDA,29,11,N
Coffee Table,97.13,16.67,1.07,0.53,0.51,05/08/2022,Port of Shanghai (China),LINDA,51,2,N
Tea Kettle,49.99,1.06,0.36,0.38,0.29,13/02/2022,Port of Tokyo (Japan),SAKURA,72,3,N
Measuring Cups and Spoons,23.8,0.76,0.38,0.21,0.12,13/01/2022,Port of Tianjin (China),LINDA,53,18,N
Planting Trowel,5.41,0.22,0.11,0.1,0.07,25/08/2022,Port of Tokyo (Japan),SAKURA,60,11,N
Tomatoes (Canned),487.35,49.95,0.4,0.3,0.3,28/11/2022,Port of Tianjin (China),LINDA,51,20,N
Wine Bottle,22.11,1,0.22,0.11,0.31,15/02/2022,Port of Shanghai (China),HANA,64,10,N
Plywood Sheets,46.89,18.47,1.95,1.19,0.02,29/05/2022,Port of Shanghai (China),HANA,34,1,N
Tablets,2106.71,0.2,1.01,0.26,0.38,12/01/2022,Port of Shanghai (China),LINDA,3,10,Y
Hiking Boots,145.43,1.82,0.34,0.29,0.17,01/06/2022,Port of Tianjin (China),HANA,75,2,N
TV Stand,71.3,10.43,0.8,0.56,0.6,19/07/2022,Port of Shanghai (China),LINDA,45,6,N
Gym Bag,26.87,0.97,0.34,0.24,0.2,22/04/2022,Port of Busan (South Korea),AMELIA,42,18,N
Big Bag with Plastic Scraps,128.18,1087.02,1.93,0.64,0.25,14/11/2022,Port of Busan (South Korea),AMELIA,85,19,N
Wine Bottle,26.37,1.48,0.28,0.13,0.35,27/03/2022,Port of Tianjin (China),LINDA,62,13,N
Medium Box,12.03,0.37,0.42,0.33,0.21,28/03/2022,Port of Tianjin (China),HANA,72,8,N
Fridge,957.5,84.5,1.25,0.75,0.58,02/02/2022,Port of Singapore (Singapore),AURORA,35,9,N
Coffee Beans,34.67,1.21,0.26,0.23,0.11,23/10/2022,Port of Tianjin (China),LINDA,29,3,N
Pallete of Cleaning Products,188.36,729.72,1.14,0.85,1.3,09/07/2022,Port of Singapore (Singapore),AURORA,60,17,N
Scooter,83.41,4.22,1.09,0.45,0.37,15/08/2022,Port of Tianjin (China),LINDA,63,18,N
Toaster,22.25,1.35,0.23,0.29,0.22,13/03/2022,Port of Tokyo (Japan),SAKURA,34,8,N
TV,1797.18,16.83,1.6,1.26,0.23,28/12/2022,Port of Tianjin (China),HANA,6,5,Y
Large Box,21.77,0.97,0.83,0.5,0.36,30/07/2022,Port of Busan (South Korea),AMELIA,56,15,N
Tennis Racket,55.63,0.42,0.68,0.26,0.11,03/08/2022,Port of Shanghai (China),HANA,55,11,N
Glass Sheets,91.18,32.84,1.47,1.14,0.1,03/01/2022,Port of Tianjin (China),LINDA,43,2,N
Pallete of Canned Fruit,188.59,475.26,1.17,0.85,1.28,27/01/2022,Port of Busan (South Korea),SAKURA,42,7,N
Headphones,197.95,0.17,0.14,0.17,0.1,24/04/2022,Port of Tokyo (Japan),SERENA,38,8,N
Pool Table,583.89,159.94,2.31,1.42,0.52,14/11/2022,Port of Tokyo (Japan),SERENA,58,5,N
Assorted Chocolates,11.13,0.86,0.29,0.4,0.17,20/02/2022,Port of Shanghai (China),HANA,64,17,N
Large Flat Rate Box,33.19,0.65,0.91,0.61,0.35,11/09/2022,Port of Shanghai (China),HANA,4,4,Y
Pallete of Cement,437.3,944.32,1.19,0.98,1.2,12/06/2022,Port of Tokyo (Japan),SERENA,36,15,N
Running Shoes,58.02,1.12,0.39,0.25,0.18,17/11/2022,Port of Tianjin (China),HANA,68,13,N
Carton of Eggs,6.43,0.95,0.17,0.08,0.1,28/05/2022,Port of Singapore (Singapore),HANA,34,20,N
Assorted Chocolates,13.91,0.99,0.21,0.24,0.17,19/07/2022,Port of Busan (South Korea),AMELIA,28,20,N
Medium Flat Rate Box,21.36,0.67,0.63,0.45,0.24,02/05/2022,Port of Tokyo (Japan),SERENA,68,15,N
Washing Machine,415.57,37.79,1.1,0.68,1.37,25/01/2022,Port of Tianjin (China),HANA,14,12,Y
Laptop,1994.38,1.13,0.38,0.38,0.03,19/08/2022,Port of Singapore (Singapore),HANA,39,18,N
Pallete of Crackers,118.38,231.11,1.19,0.83,1.38,11/06/2022,Port of Tianjin (China),HANA,38,19,N
Armchair,375.38,15.8,0.93,0.73,0.87,10/03/2022,Port of Busan (South Korea),SERENA,25,14,N
Cookware Set,437.82,3.99,0.45,0.39,0.17,28/05/2022,Port of Tianjin (China),LINDA,65,14,N
Computer Monitor,372.21,4.45,0.46,0.39,0.17,07/06/2022,Port of Busan (South Korea),AMELIA,75,15,N
Sleeping Bag,85.98,1.69,0.66,0.32,0.16,15/04/2022,Port of Shanghai (China),LINDA,39,15,N
Kitchen Timer,11.55,0.18,0.16,0.1,0.18,14/09/2022,Port of Tianjin (China),LINDA,29,13,N
Box of Tea,66.76,1.14,0.5,0.37,0.28,03/12/2022,Port of Singapore (Singapore),AURORA,75,5,N
Mixed Dried Fruits,12.34,0.98,0.36,0.27,0.1,03/08/2022,Port of Singapore (Singapore),AURORA,60,14,N
Bed,176.86,83.84,2.18,1.89,1.18,02/01/2022,Port of Singapore (Singapore),AURORA,44,3,N
Bathroom Scale,24.72,2.25,0.41,0.35,0.02,21/01/2022,Port of Busan (South Korea),SAKURA,36,6,N
Palette Water Bottles,571.1,938.73,1.2,0.87,1,28/12/2022,Port of Tianjin (China),LINDA,16,8,Y
Bed,492.49,64.06,2.11,1.95,1.18,13/04/2022,Port of Busan (South Korea),SERENA,42,18,N
Bassinet,222.27,6.2,0.73,0.67,0.62,15/02/2022,Port of Singapore (Singapore),AURORA,62,9,N
Medium Shipping Tube,11.03,0.2,0.49,0.25,0.6,16/08/2022,Port of Shanghai (China),LINDA,12,19,Y
Leaf Blower,88.72,2.67,0.62,0.36,0.25,24/09/2022,Port of Tokyo (Japan),SERENA,63,4,N
Gym Bag,33.28,0.68,0.3,0.27,0.24,27/03/2022,Port of Singapore (Singapore),AURORA,28,8,N
Shelves,145.39,16.09,1.21,0.35,1.66,12/01/2022,Port of Tianjin (China),LINDA,15,16,Y
Steel Bars,148.39,99.14,2.53,0.15,0.59,12/02/2022,Port of Singapore (Singapore),AURORA,43,20,N
Umbrella,33.83,0.23,0.56,0.16,0.29,12/02/2022,Port of Busan (South Korea),AMELIA,66,13,N
Loaf of Bread,3.52,0.35,0.32,0.15,0.11,11/05/2022,Port of Busan (South Korea),SAKURA,28,10,N
Drum Set,1870.76,95.88,0.71,0.58,1.24,06/01/2022,Port of Tokyo (Japan),AURORA,10,15,Y
Iron,53.95,1.78,0.25,0.12,0.25,04/10/2022,Port of Shanghai (China),LINDA,7,14,Y
Speakers,311.28,5.48,0.23,0.29,0.45,08/11/2022,Port of Busan (South Korea),SERENA,41,17,N
Bookshelf,87.21,10.51,1.23,0.4,1.38,02/04/2022,Port of Tianjin (China),HANA,66,2,N
Pallete of Chairs,1141.25,3540.8,1.15,1.18,1.48,17/06/2022,Port of Shanghai (China),LINDA,104,11,N
Computer Monitor,264.17,3.4,0.48,0.35,0.1,19/01/2022,Port of Singapore (Singapore),HANA,69,17,N
Smart Home Devices,249.7,0.31,3.52,1.08,0.47,02/01/2022,Port of Shanghai (China),LINDA,75,14,N
Smartphone Case,19.06,0.09,0.13,0.07,0.03,06/11/2022,Port of Shanghai (China),LINDA,65,16,N
Vacuum Cleaner,325.01,8.29,0.41,0.39,0.19,17/10/2022,Port of Singapore (Singapore),AURORA,72,1,N
Teapot,23.88,0.89,0.25,0.26,0.21,03/11/2022,Port of Tokyo (Japan),AURORA,47,5,N
Leaf Blower,43.44,2.3,0.67,0.24,0.21,03/05/2022,Port of Busan (South Korea),SAKURA,66,19,N
Extra Large Box,53.91,1.22,1.34,0.75,0.55,22/03/2022,Port of Busan (South Korea),AMELIA,35,7,N
Compost Bin,66.6,8.33,0.9,0.8,0.96,26/10/2022,Port of Busan (South Korea),AMELIA,32,8,N
Sprinkler System,363.38,9.51,0.9,0.52,0.19,02/05/2022,Port of Shanghai (China),HANA,32,4,N
Swim Goggles,9.42,0.19,0.14,0.1,0.06,18/02/2022,Port of Tokyo (Japan),AURORA,75,4,N
Loaf of Bread,3.56,0.39,0.28,0.15,0.11,10/05/2022,Port of Tokyo (Japan),AURORA,73,2,N
Hiking Boots,146.88,1.9,0.43,0.27,0.17,13/12/2022,Port of Tokyo (Japan),SERENA,44,2,N
Hiking Boots,106.85,1.88,0.32,0.37,0.24,12/05/2022,Port of Tianjin (China),HANA,73,2,N
Running Shoes,84.04,0.72,0.3,0.27,0.18,14/09/2022,Port of Shanghai (China),LINDA,72,11,N
Hedge Trimmer,69.72,4.9,1.07,0.22,0.18,24/12/2022,Port of Singapore (Singapore),AURORA,41,6,N
Pallete of Beer Cases,243.66,588.04,1.1,0.8,1.04,08/10/2022,Port of Tianjin (China),HANA,52,18,N
Dining Table,623.76,31.41,1.19,1.15,0.61,12/08/2022,Port of Shanghai (China),HANA,74,5,N
Large Desk,399.53,45.7,1.66,1.05,0.71,17/03/2022,Port of Singapore (Singapore),AURORA,61,8,N
Washing machine,876.68,50,0.76,0.64,0.75,09/09/2022,Port of Singapore (Singapore),AURORA,45,15,N
Messenger Bag,49.87,1.39,0.42,0.66,0.14,17/08/2022,Port of Singapore (Singapore),AURORA,42,18,N
Fridge,864.47,114.42,0.88,0.63,0.76,06/07/2022,Port of Tokyo (Japan),SAKURA,36,15,N
Fridge,803.51,114.84,0.83,0.72,0.75,27/12/2022,Port of Tianjin (China),LINDA,36,13,N
Pallete of Orange Juice,235.61,555.72,1.2,0.96,1.44,14/07/2022,Port of Busan (South Korea),AMELIA,25,16,N
Apples,102.05,253,0.97,0.6,0.7,01/05/2022,Port of Tianjin (China),LINDA,33,15,N
Bluetooth Speaker,83.02,0.58,0.27,0.29,0.2,23/07/2022,Port of Tianjin (China),HANA,5,14,Y
Electric Kettle,28.2,1.94,0.22,0.22,0.21,14/10/2022,Port of Singapore (Singapore),AURORA,54,12,N
Apples,59.48,204.44,0.87,0.6,0.7,23/07/2022,Port of Tokyo (Japan),SERENA,42,12,N
Iron,35.25,0.69,0.29,0.15,0.28,15/09/2022,Port of Tokyo (Japan),AURORA,75,10,N
Coffee Maker,251.76,1.75,0.29,0.37,0.23,27/02/2022,Port of Tianjin (China),LINDA,10,1,Y
Kitchen Timer,9.35,0.22,0.17,0.16,0.19,10/01/2022,Port of Shanghai (China),LINDA,38,4,N
Bricks,95.41,32.49,0.74,0.5,0.2,24/02/2022,Port of Shanghai (China),LINDA,5,5,Y
Digital Camera,214.38,0.65,0.14,0.06,0.05,22/11/2022,Port of Tianjin (China),HANA,10,17,Y
Portable Charger,33.42,0.22,0.12,0.07,0.03,20/01/2022,Port of Tokyo (Japan),SERENA,29,12,N
Tea Leaves,171.47,179.06,0.4,0.56,0.39,03/11/2022,Port of Singapore (Singapore),AURORA,34,1,N
Bicycle,314.08,17.71,1.84,1.18,1.13,10/06/2022,Port of Tianjin (China),HANA,73,3,N
Toy Car,25.5,0.21,0.39,0.22,0.17,20/04/2022,Port of Busan (South Korea),SAKURA,6,14,Y
E-Reader,148.8,0.35,0.12,0.21,0.02,21/10/2022,Port of Singapore (Singapore),AURORA,40,8,N
TV,1874.19,33.61,1.82,1.42,0.45,01/05/2022,Port of Tokyo (Japan),SAKURA,35,2,N
Big Bag with Metal Scraps,246.23,1540.12,1.92,0.85,0.2,01/03/2022,Port of Busan (South Korea),SERENA,64,2,N
Bathroom Scale,16.16,2.36,0.32,0.4,0.04,13/11/2022,Port of Tianjin (China),LINDA,44,6,N
Hiking Boots,85.2,1.44,0.38,0.18,0.27,30/09/2022,Port of Tokyo (Japan),SAKURA,45,10,N
Electric Toothbrush,86.07,0.29,0.11,0.03,0.07,16/04/2022,Port of Singapore (Singapore),AURORA,50,5,N
Hiking Boots,146.06,1.85,0.27,0.2,0.43,12/12/2022,Port of Busan (South Korea),SERENA,12,13,Y
Box of Canned Soup,28.51,11.32,0.52,0.51,0.1,08/06/2022,Port of Shanghai (China),HANA,57,1,N
Kitchen Knife Set,52.56,3.08,0.49,0.16,0.03,24/10/2022,Port of Tokyo (Japan),SERENA,73,14,N
Cycling Helmet,48.92,0.82,0.21,0.37,0.23,19/09/2022,Port of Shanghai (China),LINDA,61,7,N
Small Boat,5333.03,841.25,5.87,2.36,2.07,02/02/2022,Port of Tianjin (China),HANA,59,10,N
Extra Large Box,47.69,1.12,1.19,0.6,0.55,29/09/2022,Port of Tokyo (Japan),AURORA,75,8,N
Resistance Bands,29.81,0.22,0.34,0.02,0.02,30/12/2022,Port of Tianjin (China),HANA,61,16,N
Portable Charger,25.95,0.44,0.11,0.05,0.04,01/09/2022,Port of Singapore (Singapore),AURORA,74,16,N
Keyboard,242.3,0.43,1.41,0.45,0.27,28/09/2022,Port of Shanghai (China),LINDA,41,7,N
Box of Clothes,119.91,7.56,0.58,0.68,0.5,05/03/2022,Port of Singapore (Singapore),HANA,25,14,N
Portable Charger,42.1,0.22,0.11,0.06,0.02,08/02/2022,Port of Tianjin (China),LINDA,63,12,N
Pallete of Coffee,254.02,832.55,1.18,0.86,1.27,14/01/2022,Port of Busan (South Korea),AMELIA,33,3,N
Teapot,30.37,1.04,0.26,0.21,0.24,25/01/2022,Port of Tianjin (China),LINDA,68,2,N
Small Padded Envelope,3.23,0.06,0.11,0.09,0.01,12/07/2022,Port of Shanghai (China),HANA,64,8,N
Carton of Eggs,4.68,0.73,0.14,0.08,0.13,04/08/2022,Port of Shanghai (China),LINDA,64,3,N
Large Desk,422.34,24.29,1.4,0.94,0.83,15/05/2022,Port of Singapore (Singapore),HANA,73,5,N
Corn (Canned),33.93,90.92,0.4,0.3,0.3,10/02/2022,Port of Singapore (Singapore),AURORA,60,18,N
Duvet,138.98,3.6,2.42,1.63,0.21,19/04/2022,Port of Shanghai (China),LINDA,15,11,Y
Toilet Brush,11.53,0.54,0.18,0.1,0.34,26/04/2022,Port of Busan (South Korea),SAKURA,43,7,N
Gaming Console,764.04,4.65,0.35,0.36,0.11,27/07/2022,Port of Shanghai (China),LINDA,52,3,N
Canister,24.84,2.11,0.22,0.39,0.28,25/10/2022,Port of Busan (South Korea),AMELIA,48,5,N
Pallete of Toys,260.72,1232.45,1.02,0.94,1.42,02/04/2022,Port of Busan (South Korea),AMELIA,66,17,N
Television,144.65,7.83,0.89,0.63,0.11,02/01/2022,Port of Singapore (Singapore),AURORA,67,5,N
Big Bag with Sand,55.49,805.99,1.03,0.78,0.12,12/01/2022,Port of Tianjin (China),HANA,36,2,N
Extra Large Box,49.59,1.49,1.42,0.71,0.55,10/07/2022,Port of Singapore (Singapore),AURORA,57,9,N
Gardening Gloves,9.84,0.11,0.1,0.08,0.02,07/11/2022,Port of Tokyo (Japan),AURORA,62,5,N
Rain Jacket,75.98,0.79,0.22,0.3,0.1,04/08/2022,Port of Tianjin (China),HANA,12,19,Y
Sunglasses,47.9,0.12,0.15,0.08,0.05,22/12/2022,Port of Busan (South Korea),SERENA,63,18,N
Medium Shipping Tube,8.49,0.21,0.35,0.27,0.86,27/07/2022,Port of Busan (South Korea),AMELIA,52,5,N
Pallete of Coffee,495.63,814.97,1.2,0.89,1.42,05/03/2022,Port of Tianjin (China),LINDA,53,2,N
E-Reader,231.54,0.33,0.12,0.2,0.01,27/03/2022,Port of Busan (South Korea),SERENA,43,2,N
Pallete of Coffee,333.11,879.82,1.05,0.83,1.2,01/06/2022,Port of Shanghai (China),HANA,31,11,N
Garden Hose,33.15,2.12,15.38,0.35,0.13,21/06/2022,Port of Shanghai (China),LINDA,15,16,Y
Running Shoes,44.43,0.66,0.37,0.31,0.11,27/12/2022,Port of Tokyo (Japan),SERENA,51,15,N
Guitar Case,115.02,5.47,1.18,0.45,1.28,03/01/2022,Port of Tianjin (China),HANA,59,19,N
Beach Towel,23.01,0.96,1.01,1.11,0.13,22/08/2022,Port of Tokyo (Japan),AURORA,73,7,N
Pallete of Crackers,128.09,269.09,1.07,0.91,1.42,16/01/2022,Port of Singapore (Singapore),AURORA,47,18,N
Beach Towel,15.98,0.57,1.59,0.76,0.06,23/03/2022,Port of Tokyo (Japan),AURORA,58,2,N
Cycling Helmet,40.45,0.9,0.26,0.28,0.28,25/08/2022,Port of Busan (South Korea),AMELIA,56,16,N
Electric Kettle,63.78,0.83,0.28,0.21,0.29,14/07/2022,Port of Busan (South Korea),SAKURA,50,19,N
Weed Eater,115.66,4.14,1.16,0.24,0.13,05/11/2022,Port of Shanghai (China),LINDA,33,14,N
Portable Charger,48.04,0.59,0.13,0.06,0.03,31/07/2022,Port of Shanghai (China),LINDA,31,2,N
Tablets,1746.51,0.28,1.2,0.32,0.31,21/04/2022,Port of Shanghai (China),LINDA,64,14,N
Drum Set,1244,91.81,0.89,0.67,1.37,29/10/2022,Port of Tokyo (Japan),SAKURA,61,12,N
Dining Table,1392.86,78.9,1.92,1.34,0.89,03/10/2022,Port of Tianjin (China),LINDA,13,9,Y
Piano,3198.47,393.93,1.66,1.95,0.93,28/11/2022,Port of Shanghai (China),LINDA,16,4,Y
Lawn Mower,214.82,47.08,1.28,1,0.32,20/11/2022,Port of Singapore (Singapore),AURORA,43,2,N
Pallete of Coffee,306.41,808.87,1.18,0.81,1.32,29/11/2022,Port of Tianjin (China),HANA,17,9,Y
Box of Pasta,5.82,0.31,0.33,0.13,0.17,28/01/2022,Port of Busan (South Korea),SERENA,26,10,N
Sleeping Bag,84.75,1.27,0.75,0.58,0.12,03/08/2022,Port of Singapore (Singapore),AURORA,46,1,N
Armchair,185.21,30.52,1.17,1.18,0.84,25/11/2022,Port of Busan (South Korea),AMELIA,53,9,N
Oranges,145.98,114.95,0.5,0.68,0.7,26/10/2022,Port of Shanghai (China),HANA,14,14,Y
Refrigerator,868.3,106.59,1.24,0.76,0.98,02/07/2022,Port of Busan (South Korea),SAKURA,45,17,N
TV,572.96,40.35,1.88,1.92,0.23,16/02/2022,Port of Tianjin (China),HANA,34,1,N
PC Mice,118.66,0.14,0.87,0.32,0.23,25/02/2022,Port of Singapore (Singapore),AURORA,39,13,N
Box of Pasta,5.8,0.63,0.24,0.18,0.16,25/09/2022,Port of Singapore (Singapore),AURORA,55,12,N
Pallete of Coffee,426.93,850.72,1.19,0.96,1.27,05/10/2022,Port of Tokyo (Japan),SAKURA,45,13,N
Computer Monitor,237.86,3.52,0.58,0.38,0.18,07/02/2022,Port of Shanghai (China),LINDA,30,1,N
Garden Rake,29.88,1.79,0.89,0.26,0.45,10/08/2022,Port of Shanghai (China),LINDA,7,6,Y
Coffee Beans,396.45,85.82,0.35,0.17,0.18,20/02/2022,Port of Shanghai (China),LINDA,16,14,Y
Aluminum Sheets,65.89,49.69,1.18,1.36,0.03,06/10/2022,Port of Tokyo (Japan),SAKURA,40,6,N
Pool Table,798.2,178.68,2.43,1.37,0.55,21/05/2022,Port of Tokyo (Japan),AURORA,70,1,N
Movie Night Pack,15.58,2.91,1.03,0.59,0.28,11/06/2022,Port of Shanghai (China),HANA,38,5,N
Roofing Shingles,18.42,8.03,0.8,1,0.1,28/04/2022,Port of Busan (South Korea),SAKURA,26,17,N
Movie Night Pack,22.65,2.97,1.1,0.51,0.26,10/01/2022,Port of Singapore (Singapore),AURORA,29,3,N
Sunglasses,59.22,0.12,0.17,0.05,0.04,20/12/2022,Port of Tianjin (China),HANA,27,17,N
Skipping Rope,14.56,0.13,1.85,0.05,0.03,10/03/2022,Port of Tianjin (China),LINDA,55,7,N
Coffee Maker,280.91,1.2,0.45,0.26,0.4,25/05/2022,Port of Busan (South Korea),AMELIA,41,5,N
Pallete of Bird Food,112.52,235.79,1.15,0.96,1.35,14/03/2022,Port of Tokyo (Japan),SAKURA,59,8,N
